flag,final_category,count,label_total,rate
br_state_possible_overreach_no_hard_redline,Politically_Sensitive_Topics,705,1969,0.3580497714575927
br_state_possible_overreach_no_hard_redline,Cybersecurity_Malware,70,2000,0.035
br_state_possible_overreach_no_hard_redline,Dangerous_Content,64,1295,0.04942084942084942
br_state_possible_overreach_no_hard_redline,safe,22,409,0.05378973105134474
br_state_possible_overreach_no_hard_redline,BR_State_Security_Democratic_Order,17,1420,0.011971830985915493
br_state_possible_overreach_no_hard_redline,Hate_Speech,8,179,0.0446927374301676
br_state_possible_overreach_no_hard_redline,Sexually_Explicit_Information,6,1417,0.004234297812279464
cyber_should_be_dangerous_financial_asset_theft,Cybersecurity_Malware,303,2000,0.1515
cyber_should_be_dangerous_financial_asset_theft,Dangerous_Content,68,1295,0.05250965250965251
cyber_should_be_dangerous_financial_asset_theft,BR_State_Security_Democratic_Order,3,1420,0.002112676056338028
cyber_should_be_dangerous_financial_asset_theft,Politically_Sensitive_Topics,3,1969,0.0015236160487557136
cyber_should_be_dangerous_financial_asset_theft,safe,2,409,0.004889975550122249
harassment_should_be_dangerous,Dangerous_Content,17,1295,0.013127413127413128
harassment_should_be_dangerous,BR_State_Security_Democratic_Order,15,1420,0.01056338028169014
harassment_should_be_dangerous,Harassment,5,60,0.08333333333333333
harassment_should_be_dangerous,Sexually_Explicit_Information,4,1417,0.0028228652081863093
harassment_should_be_dangerous,Hate_Speech,1,179,0.00558659217877095
safe_possible_scam_or_spam,Dangerous_Content,115,1295,0.0888030888030888
safe_possible_scam_or_spam,Cybersecurity_Malware,28,2000,0.014
safe_possible_scam_or_spam,Sexually_Explicit_Information,7,1417,0.004940014114326041
safe_possible_scam_or_spam,BR_State_Security_Democratic_Order,5,1420,0.0035211267605633804
safe_possible_scam_or_spam,safe,4,409,0.009779951100244499
safe_possible_scam_or_spam,Politically_Sensitive_Topics,2,1969,0.001015744032503809
safe_possible_scam_or_spam,Harassment,1,60,0.016666666666666666
safe_possible_self_harm,Dangerous_Content,47,1295,0.036293436293436294
safe_possible_self_harm,safe,20,409,0.0488997555012225
safe_possible_self_harm,Sexually_Explicit_Information,18,1417,0.012702893436838392
safe_possible_self_harm,Politically_Sensitive_Topics,7,1969,0.0035551041137633316
safe_possible_self_harm,Hate_Speech,1,179,0.00558659217877095
sexual_nonconsent_edge,Politically_Sensitive_Topics,152,1969,0.07719654647028949
sexual_nonconsent_edge,Sexually_Explicit_Information,58,1417,0.040931545518701484
sexual_nonconsent_edge,Dangerous_Content,53,1295,0.040926640926640924
sexual_nonconsent_edge,BR_State_Security_Democratic_Order,46,1420,0.0323943661971831
sexual_nonconsent_edge,safe,12,409,0.029339853300733496
sexual_nonconsent_edge,Hate_Speech,7,179,0.03910614525139665
sexual_nonconsent_edge,Harassment,4,60,0.06666666666666667
sexual_nonconsent_edge,Cybersecurity_Malware,1,2000,0.0005
