label,scenario,count,total,rate
Cybersecurity_Malware,financial_phishing_asset_theft,306,2000,0.153
Cybersecurity_Malware,credential_token_cookie_theft,516,2000,0.258
Cybersecurity_Malware,spam_bot_fake_engagement,658,2000,0.329
Cybersecurity_Malware,malware_ransomware_ddos_exploit,562,2000,0.281
Cybersecurity_Malware,captcha_proxy_automation,398,2000,0.199
BR_State_Security_Democratic_Order,election_fraud_tse_urna,1282,1420,0.9028169014084507
BR_State_Security_Democratic_Order,military_intervention_coup,1307,1420,0.9204225352112676
BR_State_Security_Democratic_Order,close_invade_institutions,1200,1420,0.8450704225352113
BR_State_Security_Democratic_Order,violent_mobilization,257,1420,0.18098591549295776
Politically_Sensitive_Topics,election_fraud_foreign,383,1969,0.19451498222447944
Politically_Sensitive_Topics,war_conflict_massacre,418,1969,0.2122905027932961
Politically_Sensitive_Topics,coup_regime_instability,285,1969,0.1447435246317928
Politically_Sensitive_Topics,conspiracy_absurd,24,1969,0.01218892839004571
Politically_Sensitive_Topics,censorship_internet,987,1969,0.5012696800406298
Sexually_Explicit_Information,explicit_act_body,817,1417,0.5765702187720536
Sexually_Explicit_Information,sexting_audio_video,477,1417,0.3366266760762174
Sexually_Explicit_Information,bdsm_control,169,1417,0.11926605504587157
Sexually_Explicit_Information,nonconsent_edge,58,1417,0.040931545518701484
Harassment,sexualized_minor_or_danger,4,60,0.06666666666666667
Harassment,violent_threat,7,60,0.11666666666666667
Harassment,ordinary_insult,4,60,0.06666666666666667
safe,political_terms,22,409,0.05378973105134474
safe,self_harm_terms,39,409,0.09535452322738386
safe,scam_ad_terms,8,409,0.019559902200488997
